"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","seed","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","target","foil","choices","combination_order","choices_in_order","round","condition","trial_counter","target_location","trial_kind","correct"
"pavlovia","0","23","0.0-0.0","CKN_125","125","","","","","","","","","","","","","","","","","","",""
"preload","1","1023","0.0-1.0","CKN_125","125","true","false","[]","[]","[]","","","","","","","","","","","","","",""
"fullscreen","2","2759","0.0-2.0","CKN_125","125","true","","","","","","","","","","","","","","","","","",""
"html-button-response","3","12020","0.0-3.0","CKN_125","125","","","","","","9244","","0","","","","","","","","","","",""
"html-button-response","4","16859","0.0-4.0","CKN_125","125","","","","","","4827","","0","star","square","[""square"",""star""]","left-right","[""square"",""star""]","1","practice","1","right","trigger",""
"html-button-response","5","21239","0.0-5.0-0.0","CKN_125","125","","","","","","4367","<button class=""jspsych-btn""><img src=""stimuli/star.png"" style=""width: 200px;height: 200px;""></button>","1","star","square","[""square"",""star""]","left-right","[""square"",""star""]","1","practice","1","right","response","1"
"html-audio-button-response","6","21446","0.0-5.0-1.0","CKN_125","125","","","","","","null","stimuli/bleep.m4a","null","star","square","[""square"",""star""]","left-right","[""square"",""star""]","1","practice","1","right","audio_feedback","1"
"html-button-response","7","21967","0.0-6.0","CKN_125","125","","","","","","null","<button class=""jspsych-btn""><img src=""stimuli/white_square.png"" style=""width: 200px;height: 200px;""></button>","null","star","square","[""square"",""star""]","left-right","[""square"",""star""]","1","practice","1","right","iti",""
"html-button-response","8","24341","0.0-7.0","CKN_125","125","","","","","","2355","","0","triangle","pentagram","[""triangle"",""pentagram""]","left-right","[""triangle"",""pentagram""]","1","practice","1","left","trigger",""
"html-button-response","9","32224","0.0-8.0-0.0","CKN_125","125","","","","","","7875","<button class=""jspsych-btn""><img src=""stimuli/triangle.png"" style=""width: 200px;height: 200px;""></button>","0","triangle","pentagram","[""triangle"",""pentagram""]","left-right","[""triangle"",""pentagram""]","1","practice","1","left","response","1"
"html-audio-button-response","10","32429","0.0-8.0-1.0","CKN_125","125","","","","","","null","stimuli/bleep.m4a","null","triangle","pentagram","[""triangle"",""pentagram""]","left-right","[""triangle"",""pentagram""]","1","practice","1","left","audio_feedback","1"
"html-button-response","11","32941","0.0-9.0","CKN_125","125","","","","","","null","<button class=""jspsych-btn""><img src=""stimuli/white_square.png"" style=""width: 200px;height: 200px;""></button>","null","triangle","pentagram","[""triangle"",""pentagram""]","left-right","[""triangle"",""pentagram""]","1","practice","1","left","iti",""
"html-button-response","12","34588","0.0-10.0","CKN_125","125","","","","","","1635","","0","diamond","rectangle","[""rectangle"",""diamond""]","left-right","[""rectangle"",""diamond""]","1","practice","1","right","trigger",""
"html-button-response","13","39511","0.0-11.0-0.0","CKN_125","125","","","","","","4916","<button class=""jspsych-btn""><img src=""stimuli/diamond.png"" style=""width: 200px;height: 200px;""></button>","1","diamond","rectangle","[""rectangle"",""diamond""]","left-right","[""rectangle"",""diamond""]","1","practice","1","right","response","1"
"html-audio-button-response","14","39735","0.0-11.0-1.0","CKN_125","125","","","","","","null","stimuli/bleep.m4a","null","diamond","rectangle","[""rectangle"",""diamond""]","left-right","[""rectangle"",""diamond""]","1","practice","1","right","audio_feedback","1"
"html-button-response","15","40262","0.0-12.0","CKN_125","125","","","","","","null","<button class=""jspsych-btn""><img src=""stimuli/white_square.png"" style=""width: 200px;height: 200px;""></button>","null","diamond","rectangle","[""rectangle"",""diamond""]","left-right","[""rectangle"",""diamond""]","1","practice","1","right","iti",""
"html-button-response","16","41656","0.0-13.0","CKN_125","125","","","","","","1375","","0","pentagram","star","[""pentagram"",""star""]","left-right","[""pentagram"",""star""]","1","practice","1","left","trigger",""
"html-button-response","17","44443","0.0-14.0-0.0","CKN_125","125","","","","","","2780","<button class=""jspsych-btn""><img src=""stimuli/pentagram.png"" style=""width: 200px;height: 200px;""></button>","0","pentagram","star","[""pentagram"",""star""]","left-right","[""pentagram"",""star""]","1","practice","1","left","response","1"
"html-audio-button-response","18","44658","0.0-14.0-1.0","CKN_125","125","","","","","","null","stimuli/bleep.m4a","null","pentagram","star","[""pentagram"",""star""]","left-right","[""pentagram"",""star""]","1","practice","1","left","audio_feedback","1"
"html-button-response","19","45179","0.0-15.0","CKN_125","125","","","","","","null","<button class=""jspsych-btn""><img src=""stimuli/white_square.png"" style=""width: 200px;height: 200px;""></button>","null","pentagram","star","[""pentagram"",""star""]","left-right","[""pentagram"",""star""]","1","practice","1","left","iti",""
"html-button-response","20","48560","0.0-16.0","CKN_125","125","","","","","","3373","","0","","","","","","","","","","",""
"html-button-response","21","52564","0.0-17.0","CKN_125","125","","","","","","3996","","0","pink","turquoise","[""pink"",""turquoise"",""low nameability""]","right-left","[""turquoise"",""pink""]","1","low nameability","1","right","trigger",""
"html-button-response","22","56900","0.0-18.0-0.0","CKN_125","125","","","","","","4322","<button class=""jspsych-btn""><img src=""stimuli/pink.png"" style=""width: 200px;height: 200px;""></button>","1","pink","turquoise","[""pink"",""turquoise"",""low nameability""]","right-left","[""turquoise"",""pink""]","1","low nameability","1","right","response","1"
"html-audio-button-response","23","57102","0.0-18.0-1.0","CKN_125","125","","","","","","null","stimuli/bleep.m4a","null","pink","turquoise","[""pink"",""turquoise"",""low nameability""]","right-left","[""turquoise"",""pink""]","1","low nameability","1","right","audio_feedback","1"
"html-button-response","24","57613","0.0-19.0","CKN_125","125","","","","","","null","<button class=""jspsych-btn""><img src=""stimuli/white_square.png"" style=""width: 200px;height: 200px;""></button>","null","pink","turquoise","[""pink"",""turquoise"",""low nameability""]","right-left","[""turquoise"",""pink""]","1","low nameability","1","right","iti",""
"html-button-response","25","61420","0.0-20.0","CKN_125","125","","","","","","3781","","0","red","yellow","[""red"",""yellow"",""high nameability""]","left-right","[""red"",""yellow"",""high nameability""]","1","high nameability","2","left","trigger",""
"html-button-response","26","63391","0.0-21.0-0.0","CKN_125","125","","","","","","1958","<button class=""jspsych-btn""><img src=""stimuli/red.png"" style=""width: 200px;height: 200px;""></button>","0","red","yellow","[""red"",""yellow"",""high nameability""]","left-right","[""red"",""yellow"",""high nameability""]","1","high nameability","2","left","response","1"
"html-audio-button-response","27","63603","0.0-21.0-1.0","CKN_125","125","","","","","","null","stimuli/bleep.m4a","null","red","yellow","[""red"",""yellow"",""high nameability""]","left-right","[""red"",""yellow"",""high nameability""]","1","high nameability","2","left","audio_feedback","1"
"html-button-response","28","64121","0.0-22.0","CKN_125","125","","","","","","null","<button class=""jspsych-btn""><img src=""stimuli/white_square.png"" style=""width: 200px;height: 200px;""></button>","null","red","yellow","[""red"",""yellow"",""high nameability""]","left-right","[""red"",""yellow"",""high nameability""]","1","high nameability","2","left","iti",""
"html-button-response","29","72107","0.0-23.0","CKN_125","125","","","","","","7963","","0","lightred","pink","[""lightred"",""pink"",""low nameability""]","right-left","[""pink"",""lightred""]","1","low nameability","3","right","trigger",""
"html-button-response","30","74237","0.0-24.0-0.0","CKN_125","125","","","","","","2119","<button class=""jspsych-btn""><img src=""stimuli/lightred.png"" style=""width: 200px;height: 200px;""></button>","1","lightred","pink","[""lightred"",""pink"",""low nameability""]","right-left","[""pink"",""lightred""]","1","low nameability","3","right","response","1"
"html-audio-button-response","31","74446","0.0-24.0-1.0","CKN_125","125","","","","","","null","stimuli/bleep.m4a","null","lightred","pink","[""lightred"",""pink"",""low nameability""]","right-left","[""pink"",""lightred""]","1","low nameability","3","right","audio_feedback","1"
"html-button-response","32","74963","0.0-25.0","CKN_125","125","","","","","","null","<button class=""jspsych-btn""><img src=""stimuli/white_square.png"" style=""width: 200px;height: 200px;""></button>","null","lightred","pink","[""lightred"",""pink"",""low nameability""]","right-left","[""pink"",""lightred""]","1","low nameability","3","right","iti",""
"html-button-response","33","76995","0.0-26.0","CKN_125","125","","","","","","2006","","0","red","orange","[""red"",""orange"",""high nameability""]","right-left","[""orange"",""red""]","1","high nameability","4","right","trigger",""
