"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","seed","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","target","foil","choices","combination_order","choices_in_order","round","condition","trial_counter","target_location","trial_kind","correct"
"pavlovia","0","22","0.0-0.0","CAN_146","146","","","","","","","","","","","","","","","","","","",""
"preload","1","697","0.0-1.0","CAN_146","146","true","false","[]","[]","[]","","","","","","","","","","","","","",""
"fullscreen","2","594672","0.0-2.0","CAN_146","146","true","","","","","","","","","","","","","","","","","",""
"html-button-response","3","627710","0.0-3.0","CAN_146","146","","","","","","33006","","0","","","","","","","","","","",""
"html-button-response","4","631856","0.0-4.0","CAN_146","146","","","","","","4126","","0","star","square","[""square"",""star""]","left-right","[""square"",""star""]","1","practice","1","right","trigger",""
"html-button-response","5","636043","0.0-5.0-0.0","CAN_146","146","","","","","","4170","<button class=""jspsych-btn""><img src=""stimuli/star.png"" style=""width: 200px;height: 200px;""></button>","1","star","square","[""square"",""star""]","left-right","[""square"",""star""]","1","practice","1","right","response","1"
"html-audio-button-response","6","636258","0.0-5.0-1.0","CAN_146","146","","","","","","null","stimuli/bleep.m4a","null","star","square","[""square"",""star""]","left-right","[""square"",""star""]","1","practice","1","right","audio_feedback","1"
"html-button-response","7","636787","0.0-6.0","CAN_146","146","","","","","","null","<button class=""jspsych-btn""><img src=""stimuli/white_square.png"" style=""width: 200px;height: 200px;""></button>","null","star","square","[""square"",""star""]","left-right","[""square"",""star""]","1","practice","1","right","iti",""
"html-button-response","8","639091","0.0-7.0","CAN_146","146","","","","","","2284","","0","triangle","pentagram","[""triangle"",""pentagram""]","left-right","[""triangle"",""pentagram""]","1","practice","1","left","trigger",""
"html-button-response","9","641083","0.0-8.0-0.0","CAN_146","146","","","","","","1981","<button class=""jspsych-btn""><img src=""stimuli/triangle.png"" style=""width: 200px;height: 200px;""></button>","0","triangle","pentagram","[""triangle"",""pentagram""]","left-right","[""triangle"",""pentagram""]","1","practice","1","left","response","1"
"html-audio-button-response","10","641293","0.0-8.0-1.0","CAN_146","146","","","","","","null","stimuli/bleep.m4a","null","triangle","pentagram","[""triangle"",""pentagram""]","left-right","[""triangle"",""pentagram""]","1","practice","1","left","audio_feedback","1"
"html-button-response","11","641813","0.0-9.0","CAN_146","146","","","","","","null","<button class=""jspsych-btn""><img src=""stimuli/white_square.png"" style=""width: 200px;height: 200px;""></button>","null","triangle","pentagram","[""triangle"",""pentagram""]","left-right","[""triangle"",""pentagram""]","1","practice","1","left","iti",""
"html-button-response","12","642776","0.0-10.0","CAN_146","146","","","","","","938","","0","diamond","rectangle","[""rectangle"",""diamond""]","left-right","[""rectangle"",""diamond""]","1","practice","1","right","trigger",""
"html-button-response","13","644076","0.0-11.0-0.0","CAN_146","146","","","","","","1289","<button class=""jspsych-btn""><img src=""stimuli/diamond.png"" style=""width: 200px;height: 200px;""></button>","1","diamond","rectangle","[""rectangle"",""diamond""]","left-right","[""rectangle"",""diamond""]","1","practice","1","right","response","1"
"html-audio-button-response","14","644281","0.0-11.0-1.0","CAN_146","146","","","","","","null","stimuli/bleep.m4a","null","diamond","rectangle","[""rectangle"",""diamond""]","left-right","[""rectangle"",""diamond""]","1","practice","1","right","audio_feedback","1"
"html-button-response","15","644807","0.0-12.0","CAN_146","146","","","","","","null","<button class=""jspsych-btn""><img src=""stimuli/white_square.png"" style=""width: 200px;height: 200px;""></button>","null","diamond","rectangle","[""rectangle"",""diamond""]","left-right","[""rectangle"",""diamond""]","1","practice","1","right","iti",""
"html-button-response","16","645595","0.0-13.0","CAN_146","146","","","","","","768","","0","pentagram","star","[""pentagram"",""star""]","left-right","[""pentagram"",""star""]","1","practice","1","left","trigger",""
"html-button-response","17","646823","0.0-14.0-0.0","CAN_146","146","","","","","","1219","<button class=""jspsych-btn""><img src=""stimuli/pentagram.png"" style=""width: 200px;height: 200px;""></button>","0","pentagram","star","[""pentagram"",""star""]","left-right","[""pentagram"",""star""]","1","practice","1","left","response","1"
"html-audio-button-response","18","647032","0.0-14.0-1.0","CAN_146","146","","","","","","null","stimuli/bleep.m4a","null","pentagram","star","[""pentagram"",""star""]","left-right","[""pentagram"",""star""]","1","practice","1","left","audio_feedback","1"
"html-button-response","19","647553","0.0-15.0","CAN_146","146","","","","","","null","<button class=""jspsych-btn""><img src=""stimuli/white_square.png"" style=""width: 200px;height: 200px;""></button>","null","pentagram","star","[""pentagram"",""star""]","left-right","[""pentagram"",""star""]","1","practice","1","left","iti",""
"html-button-response","20","658632","0.0-16.0","CAN_146","146","","","","","","11062","","0","","","","","","","","","","",""
"html-button-response","21","660106","0.0-17.0","CAN_146","146","","","","","","1464","","0","yellow","blue","[""yellow"",""blue"",""high nameability""]","right-left","[""blue"",""yellow""]","1","high nameability","1","right","trigger",""
"html-button-response","22","661415","0.0-18.0-0.0","CAN_146","146","","","","","","1297","<button class=""jspsych-btn""><img src=""stimuli/yellow.png"" style=""width: 200px;height: 200px;""></button>","1","yellow","blue","[""yellow"",""blue"",""high nameability""]","right-left","[""blue"",""yellow""]","1","high nameability","1","right","response","1"
"html-audio-button-response","23","661616","0.0-18.0-1.0","CAN_146","146","","","","","","null","stimuli/bleep.m4a","null","yellow","blue","[""yellow"",""blue"",""high nameability""]","right-left","[""blue"",""yellow""]","1","high nameability","1","right","audio_feedback","1"
"html-button-response","24","662127","0.0-19.0","CAN_146","146","","","","","","null","<button class=""jspsych-btn""><img src=""stimuli/white_square.png"" style=""width: 200px;height: 200px;""></button>","null","yellow","blue","[""yellow"",""blue"",""high nameability""]","right-left","[""blue"",""yellow""]","1","high nameability","1","right","iti",""
"html-button-response","25","663049","0.0-20.0","CAN_146","146","","","","","","901","","0","blue","orange","[""blue"",""orange"",""high nameability""]","left-right","[""blue"",""orange"",""high nameability""]","1","high nameability","2","left","trigger",""
"html-button-response","26","664123","0.0-21.0-0.0","CAN_146","146","","","","","","1066","<button class=""jspsych-btn""><img src=""stimuli/blue.png"" style=""width: 200px;height: 200px;""></button>","0","blue","orange","[""blue"",""orange"",""high nameability""]","left-right","[""blue"",""orange"",""high nameability""]","1","high nameability","2","left","response","1"
"html-audio-button-response","27","664327","0.0-21.0-1.0","CAN_146","146","","","","","","null","stimuli/bleep.m4a","null","blue","orange","[""blue"",""orange"",""high nameability""]","left-right","[""blue"",""orange"",""high nameability""]","1","high nameability","2","left","audio_feedback","1"
"html-button-response","28","664851","0.0-22.0","CAN_146","146","","","","","","null","<button class=""jspsych-btn""><img src=""stimuli/white_square.png"" style=""width: 200px;height: 200px;""></button>","null","blue","orange","[""blue"",""orange"",""high nameability""]","left-right","[""blue"",""orange"",""high nameability""]","1","high nameability","2","left","iti",""
"html-button-response","29","665879","0.0-23.0","CAN_146","146","","","","","","1007","","0","pink","lightred","[""pink"",""lightred"",""low nameability""]","left-right","[""pink"",""lightred"",""low nameability""]","1","low nameability","3","left","trigger",""
"html-button-response","30","666962","0.0-24.0-0.0","CAN_146","146","","","","","","1074","<button class=""jspsych-btn""><img src=""stimuli/pink.png"" style=""width: 200px;height: 200px;""></button>","0","pink","lightred","[""pink"",""lightred"",""low nameability""]","left-right","[""pink"",""lightred"",""low nameability""]","1","low nameability","3","left","response","1"
"html-audio-button-response","31","667169","0.0-24.0-1.0","CAN_146","146","","","","","","null","stimuli/bleep.m4a","null","pink","lightred","[""pink"",""lightred"",""low nameability""]","left-right","[""pink"",""lightred"",""low nameability""]","1","low nameability","3","left","audio_feedback","1"
"html-button-response","32","667691","0.0-25.0","CAN_146","146","","","","","","null","<button class=""jspsych-btn""><img src=""stimuli/white_square.png"" style=""width: 200px;height: 200px;""></button>","null","pink","lightred","[""pink"",""lightred"",""low nameability""]","left-right","[""pink"",""lightred"",""low nameability""]","1","low nameability","3","left","iti",""
"html-button-response","33","668538","0.0-26.0","CAN_146","146","","","","","","823","","0","turquoise","lightred","[""turquoise"",""lightred"",""low nameability""]","left-right","[""turquoise"",""lightred"",""low nameability""]","1","low nameability","4","left","trigger",""
"html-button-response","34","669657","0.0-27.0-0.0","CAN_146","146","","","","","","1108","<button class=""jspsych-btn""><img src=""stimuli/turquoise.png"" style=""width: 200px;height: 200px;""></button>","0","turquoise","lightred","[""turquoise"",""lightred"",""low nameability""]","left-right","[""turquoise"",""lightred"",""low nameability""]","1","low nameability","4","left","response","1"
"html-audio-button-response","35","669862","0.0-27.0-1.0","CAN_146","146","","","","","","null","stimuli/bleep.m4a","null","turquoise","lightred","[""turquoise"",""lightred"",""low nameability""]","left-right","[""turquoise"",""lightred"",""low nameability""]","1","low nameability","4","left","audio_feedback","1"
"html-button-response","36","670380","0.0-28.0","CAN_146","146","","","","","","null","<button class=""jspsych-btn""><img src=""stimuli/white_square.png"" style=""width: 200px;height: 200px;""></button>","null","turquoise","lightred","[""turquoise"",""lightred"",""low nameability""]","left-right","[""turquoise"",""lightred"",""low nameability""]","1","low nameability","4","left","iti",""
"html-button-response","37","671321","0.0-29.0","CAN_146","146","","","","","","912","","0","red","orange","[""red"",""orange"",""high nameability""]","left-right","[""red"",""orange"",""high nameability""]","1","high nameability","5","left","trigger",""
